Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio,
2014-10-02,18.240,18.330,17.770,18.190,7224861,19.99,2.31,
2014-10-01,18.480,18.610,18.220,18.270,8775121,20.08,2.32,
2014-09-30,18.440,18.580,18.230,18.450,6930130,20.27,2.34,
2014-09-29,18.400,18.650,18.224,18.515,5213585,20.35,2.35,
2014-09-26,18.570,18.690,18.490,18.545,6029702,20.38,2.35,
2014-09-25,18.900,18.950,18.470,18.510,7460994,20.34,2.35,
2014-09-24,18.800,18.980,18.780,18.920,3989961,20.79,2.4,
2014-09-23,18.790,19.020,18.720,18.810,4903604,20.67,2.38,
2014-09-22,19.470,19.470,18.870,18.890,5536598,20.76,2.39,
2014-09-19,19.500,19.520,19.050,19.080,15033424,20.97,2.42,
2014-09-18,19.270,19.460,19.210,19.440,5490120,21.36,2.46,
2014-09-17,19.090,19.330,19.000,19.150,4339601,21.04,2.43,
2014-09-16,18.810,19.240,18.750,19.135,5498477,21.03,2.43,
2014-09-15,19.180,19.210,18.780,18.860,7353902,20.73,2.39,
2014-09-12,19.530,19.530,19.095,19.120,6563409,21.01,2.42,
2014-09-11,19.470,19.540,19.200,19.410,6267986,21.33,2.46,
2014-09-10,19.650,19.685,19.425,19.610,4309435,21.55,2.49,
2014-09-09,19.700,19.830,19.520,19.540,4964806,21.47,2.48,
2014-09-08,19.950,19.990,19.710,19.790,7982245,21.75,2.51,
2014-09-05,20.010,20.100,19.840,19.970,6344896,21.95,2.53,
2014-09-04,19.650,20.150,19.640,20.030,12295805,22.01,2.54,
2014-09-03,19.600,19.750,19.470,19.685,6486429,21.63,2.5,
2014-09-02,19.500,19.500,19.315,19.495,4815883,21.42,2.47,
2014-08-29,19.460,19.490,19.250,19.450,5198761,21.37,2.47,
2014-08-28,19.190,19.430,19.130,19.390,4492628,21.31,2.46,
2014-08-27,19.330,19.475,19.200,19.230,4574336,21.13,2.44,
2014-08-26,19.160,19.490,19.090,19.455,6740958,21.38,2.47,
2014-08-25,19.160,19.290,19.070,19.110,3834454,21,2.42,
2014-08-22,19.050,19.240,18.930,19.080,6280582,20.97,2.42,
2014-08-21,19.200,19.300,19.040,19.070,6819882,22.44,2.49,
